id,FECHA,DESCRIPCION,MONTO,TIPO,nombre_limpio,categoria,tags,prioridad,es_fijo,pertenece_a,es_reembolsable,deudor,felicidad,revisado,nota,split_group_id,group_id
59f412da-a077-49aa-a877-abfc47b52f2e,2026-03-04,CONSUMO UBER,-63,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,5,True,Mock generated,,
11376f56-369c-4029-b741-f2821faecfb8,2026-03-05,CONSUMO UBER,-60,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,4,True,Mock generated,,
5496afd7-f7b6-4087-aad1-7467af8997e1,2026-03-06,CONSUMO UBER,-35,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,5,True,Mock generated,,
66a21f79-6266-41d7-885b-758436c2f824,2026-03-07,CONSUMO UBER,-57,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,3,True,Mock generated,,
32f51858-ed35-46e0-ab23-0f50b00089a9,2026-03-08,CONSUMO SUPERMERCADO,-24,BANCA,Supermercado,Alimentación,mocked,3,False,,False,,1,True,Mock generated,,
2b2d3bc1-014f-406a-b042-34097519e55f,2026-03-09,CONSUMO UBER,-80,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,2,True,Mock generated,,
6d9668f9-3c60-4d70-9a14-d07091950d65,2026-03-10,CONSUMO UBER,-14,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,4,True,Mock generated,,
e9a4268d-4b91-4621-98ab-c72f895b933e,2026-03-11,CONSUMO SUPERMERCADO,-95,BANCA,Supermercado,Alimentación,mocked,3,False,,False,,3,True,Mock generated,,
478b804b-5038-4c82-9786-91aaba3fc0c9,2026-03-12,CONSUMO RESTAURANTE,-16,BANCA,Restaurante,Alimentación,mocked,3,False,,False,,2,True,Mock generated,,
9dd84032-b14d-4bc2-b080-327aca576f03,2026-03-13,CONSUMO SUPERMERCADO,-94,BANCA,Supermercado,Alimentación,mocked,3,False,,False,,4,True,Mock generated,,
3a9ef576-ee4f-4b17-b4ae-187ccc8ac220,2026-03-14,CONSUMO UBER,-26,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,2,True,Mock generated,,
c361b510-0010-498b-9356-f157a8e5f9ed,2026-03-15,CONSUMO SUPERMERCADO,-59,BANCA,Supermercado,Alimentación,mocked,3,False,,False,,4,True,Mock generated,,
82c829d7-e14b-4553-ae71-6b11816724f5,2026-03-16,CONSUMO UBER,-90,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,5,True,Mock generated,,
4c0129cc-8567-419c-8a79-6e4342fdce7e,2026-03-17,CONSUMO UBER,-72,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,1,True,Mock generated,,
4c6c6403-bb51-4be7-84bb-fc45efa503be,2026-03-18,CONSUMO SUPERMERCADO,-69,BANCA,Supermercado,Alimentación,mocked,3,False,,False,,3,True,Mock generated,,
6d5c1fb1-cdfc-44cc-bfcf-75e819b389d1,2026-03-19,CONSUMO RESTAURANTE,-32,BANCA,Restaurante,Alimentación,mocked,3,False,,False,,3,True,Mock generated,,
abfbce6d-fd33-4d7b-a089-47de24a6276a,2026-03-20,CONSUMO SUPERMERCADO,-60,BANCA,Supermercado,Alimentación,mocked,3,False,,False,,3,True,Mock generated,,
3a3d800e-d930-438e-90c9-50bf4f893ff8,2026-03-21,CONSUMO RESTAURANTE,-18,BANCA,Restaurante,Alimentación,mocked,3,False,,False,,1,True,Mock generated,,
f7318666-fc2d-4792-9a02-4efdbf12c439,2026-03-22,CONSUMO RESTAURANTE,-43,BANCA,Restaurante,Alimentación,mocked,3,False,,False,,3,True,Mock generated,,
1bb8c64d-c081-4adc-ab95-cf5b5694efba,2026-03-23,CONSUMO UBER,-40,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,1,True,Mock generated,,
ee5e1698-04fe-483b-b80c-c0b9086c25c0,2026-03-24,CONSUMO UBER,-21,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,1,True,Mock generated,,
59e4ac62-109a-4f34-b440-50a93392f430,2026-03-25,CONSUMO RESTAURANTE,-89,BANCA,Restaurante,Alimentación,mocked,3,False,,False,,4,True,Mock generated,,
b69dbb02-b5b1-4605-b661-f9f0d7f04126,2026-03-26,CONSUMO UBER,-76,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,4,True,Mock generated,,
286a8cb3-75af-49ec-afd7-f9b723061825,2026-03-27,CONSUMO UBER,-30,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,4,True,Mock generated,,
3d2209f4-81fd-4593-88ce-41ef18b5f030,2026-03-28,CONSUMO RESTAURANTE,-77,BANCA,Restaurante,Alimentación,mocked,3,False,,False,,1,True,Mock generated,,
d1a3c829-218a-4fd9-a20c-9eeb9574f649,2026-03-29,CONSUMO UBER,-24,BANCA,Uber,Entretenimiento,mocked,3,False,,False,,5,True,Mock generated,,
dd27e8f0-955b-4800-9f1f-3219e31f18a0,2026-03-30,CONSUMO SUPERMERCADO,-26,BANCA,Supermercado,Alimentación,mocked,3,False,,False,,1,True,Mock generated,,
dd1985be-d1e8-46c5-9a3e-ca1577162f86,2026-03-31,CONSUMO RESTAURANTE,-89,BANCA,Restaurante,Alimentación,mocked,3,False,,False,,5,True,Mock generated,,
d5946bed-6961-4147-9c14-e516c4cfd296,2026-04-01,CONSUMO RESTAURANTE,-23,BANCA,Restaurante,Alimentación,mocked,3,False,,False,,1,True,Mock generated,,
206c5bcd-fae1-45e6-943c-cf2104c9b3ab,2026-04-02,CONSUMO SUPERMERCADO,-25,BANCA,Supermercado,Alimentación,mocked,3,False,,False,,2,True,Mock generated,,
fa34c5d1-795a-4648-830d-aad994813635,2026-03-24,COMPRA TC STEAM,-7,TARJETA,Steam,Entretenimiento,mocked,3,False,,False,,4,True,Mock generated,,
f74c43b3-7e70-4139-b309-a396985290b8,2026-03-25,COMPRA TC STEAM,-25,TARJETA,Steam,Entretenimiento,mocked,3,False,,False,,4,True,Mock generated,,
419b667a-0b62-4883-911c-846e3551ecf3,2026-03-26,COMPRA TC AMAZON,-43,TARJETA,Amazon,Entretenimiento,mocked,3,False,,False,,3,True,Mock generated,,
fa31a420-5aa0-485c-9290-85470aaedfde,2026-03-27,COMPRA TC AMAZON,-8,TARJETA,Amazon,Entretenimiento,mocked,3,False,,False,,5,True,Mock generated,,
66e209c1-9606-4306-81da-4118f7f3635a,2026-03-28,COMPRA TC NETFLIX,-11,TARJETA,Netflix,Entretenimiento,mocked,3,False,,False,,1,True,Mock generated,,
afd96da9-ebc1-41d0-9942-12dd59f03b0e,2026-03-29,COMPRA TC STEAM,-13,TARJETA,Steam,Entretenimiento,mocked,3,False,,False,,2,True,Mock generated,,
04e03824-d283-4e9b-bb8a-57bc1eb86afe,2026-03-30,COMPRA TC NETFLIX,-40,TARJETA,Netflix,Entretenimiento,mocked,3,False,,False,,2,True,Mock generated,,
6e615136-daf5-4a04-8b10-ed6418cd35cc,2026-03-31,COMPRA TC AMAZON,-9,TARJETA,Amazon,Entretenimiento,mocked,3,False,,False,,3,True,Mock generated,,
633d6280-7721-4b72-9f7d-63a164f492d6,2026-04-01,COMPRA TC NETFLIX,-10,TARJETA,Netflix,Entretenimiento,mocked,3,False,,False,,1,True,Mock generated,,
25f0d7d7-5702-40e2-8a21-c6fedcfc31c8,2026-04-02,COMPRA TC NETFLIX,-13,TARJETA,Netflix,Entretenimiento,mocked,3,False,,False,,5,True,Mock generated,,
