id,group_id,amount,start_date,end_date,note
941e3d67-2f3b-489e-b2d2-c43c7b2ea13d,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,26000.0,,2024-03-28,Inversiones_Mias
8c19eb93-6c7e-4091-a12b-3c48e894aa7d,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,27897.0,2025-01-24,2025-02-21,Inversiones_Mias
6ac8d10f-7b3c-4e89-bd9a-6fca9876e5d2,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,-103.0,2025-02-21,2025-03-24,Inversiones_Mias
2f4b9d8a-1c5e-49b2-a4f6-8d1e3c59a4b2,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,28034.0,2025-03-24,2025-05-12,Inversiones_Mias
1bca6f2d-9e1c-4b8a-9c7d-3e5f4a2b1c9d,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,1034.0,2025-05-12,2025-06-12,Inversiones_Mias
7e3a5f8b-2d1c-4b9a-8c6e-4f1d3b59a2c1,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,28154.0,2025-06-12,2025-08-12,Inversiones_Mias
9c4d2b1a-5e3f-4a8b-9d7c-2e6f1a4b3c5d,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,543.0,2025-08-12,2025-09-12,Inversiones_Mias
3a1b5c9d-8e2f-4c7a-a6b9-1d4e5f2a3b8c,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,28237.0,2025-09-12,2025-11-18,Inversiones_Mias
8f2e4c6a-1d3b-4a5c-9e7f-6b2a1c4d5e9b,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,1237.0,2025-11-18,2025-12-19,Inversiones_Mias
5d1e2c3b-4f6a-4b8c-8e9a-7f1d2b3c4a5d,bd963a38-13b9-4a6f-80a5-b871f9dc38d7,28304.0,2025-12-19,2026-01-21,Inversiones_Mias
7c4b1d6e-9f3a-4c2d-b5e8-1a2b3c4d5e6f,e996e29a-1443-4026-bb64-13f6da31ab32,10100.0,,2024-05-29,Inversiones_Uni
2d5e1f8c-4a3b-4e6d-c7f9-3a1b2c5d4e6f,e996e29a-1443-4026-bb64-13f6da31ab32,10272.0,2024-05-29,2024-06-04,Inversiones_Uni
8a2b3c4d-5e6f-4a1b-c7d8-9e1f2a3b4c5d,e996e29a-1443-4026-bb64-13f6da31ab32,7258.0,2024-09-04,2024-09-23,Inversiones_Uni
4f6e1d2c-3b5a-4c7d-8e9f-1a2b3c4d5e6f,e996e29a-1443-4026-bb64-13f6da31ab32,3228.0,2024-09-04,2024-09-23,Inversiones_Uni (madre terjeta)
1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,e996e29a-1443-4026-bb64-13f6da31ab32,6675.0,2024-10-24,2024-11-18,Inversiones_Uni
2f3e4d5c-6b7a-8f9e-0d1c-2b3a4f5e6d7c,e996e29a-1443-4026-bb64-13f6da31ab32,3213.0,2025-03-19,2025-04-28,Inversiones_Uni
9a8b7c6d-5e4f-3a2b-1c0d-9e8f7a6b5c4d,e996e29a-1443-4026-bb64-13f6da31ab32,3267.0,2025-09-25,2025-10-24,Inversiones_Uni
1c2d3e4f-5a6b-7c8d-9e0f-1a2b3c4d5e6f,e996e29a-1443-4026-bb64-13f6da31ab32,4214.0,2025-09-25,2025-11-18,Inversiones_Uni
6e5d4c3b-2a1f-0e9d-8c7b-6a5f4e3d2c1b,5a1076ed-9b20-4e86-bd35-a91c57db1246,13536.0,2024-10-25,2024-11-18,Inversiones_Madre
3f4e5d6c-7b8a-9f0e-1d2c-3b4a5f6e7d8c,5a1076ed-9b20-4e86-bd35-a91c57db1246,10389.0,2025-06-17,2025-08-12,Inversiones_Madre
